Yaw,Pitch,Roll,Pressure,Altitude
110.5,-3.35,176.35,101334,0.0
110.61,-8.12,-179.59,101328,0.49949539205
110.38,-12.63,-175.63,101337,-0.249738715887
109.89,-16.88,-171.79,101334,0.0
109.14,-20.9,-168.07,101331,0.249744702539
108.09,-24.71,-164.33,101337,-0.249738715887
106.64,-28.72,-160.16,101328,0.49949539205
105.08,-32.02,-156.26,101331,0.249744702539
103.01,-35.49,-151.86,101331,0.249744702539
100.88,-38.38,-147.75,101331,0.249744702539
98.77,-40.75,-143.97,101331,0.249744702539
96.43,-42.92,-139.98,101325,0.749252068853
93.51,-45.18,-135.28,101322,0.999014733268
91.04,-46.78,-131.49,101331,0.249744702539
88.31,-48.27,-127.56,101346,-0.998918946846
85.02,-49.78,-122.85,101337,-0.249738715887
81.47,-51.08,-117.87,101337,-0.249738715887
78.17,-52.05,-113.38,101337,-0.249738715887
75.26,-52.71,-109.46,101340,-0.499471445442
71.16,-53.45,-103.94,101334,0.0
67.34,-53.89,-98.99,101328,0.49949539205
63.47,-54.14,-93.95,101343,-0.74919818898
59.06,-54.17,-88.15,101328,0.49949539205
54.59,-53.94,-82.25,101340,-0.499471445442
50.63,-53.51,-77.11,101348,-1.16539612685
47.43,-52.99,-72.83,101331,0.249744702539
44.28,-52.32,-68.62,101340,-0.499471445442
40.16,-51.2,-63.03,101340,-0.499471445442
36.34,-49.84,-57.66,101331,0.249744702539
32.71,-48.23,-52.42,101334,0.0
29.37,-46.37,-47.37,101337,-0.249738715887
26.6,-44.5,-43.14,101340,-0.499471445442
23.77,-42.16,-38.49,101337,-0.249738715887
21.23,-39.59,-33.99,101331,0.249744702539
18.93,-36.79,-29.65,101340,-0.499471445442
16.93,-33.73,-25.43,101346,-0.998918946846
15.32,-30.76,-21.89,101334,0.0
14.18,-28.15,-18.92,101334,0.0
13.18,-25.43,-15.98,101331,0.249744702539
12.31,-22.54,-13.06,101337,-0.249738715887
11.63,-19.56,-10.14,101334,0.0
11.08,-16.38,-7.23,101337,-0.249738715887
